county,year,binary_congress,journos,stories,binary_2014,pop,perc_aian,perc_asian,perc_black,perc_other,perc_white,#_hispanic,median_age,perc_hispanic,perc_hs,perc_bach,per_cap_income,binary_treated,binary_post_treat,voter_part,comments,don_number,don_sum,don_uni,notes
Ashe,2017,0,1070,104,1,27297,0.27475547,0.53485731,0.7619885,1.31149943,97.1168993,1786,47.3106936,6.54284354,85.12,19.66,33543,0,1,0.33729521,0,2510,29238.24,226,
Ashe,2018,1,920,161,1,27606,0.27168007,0.55060494,0.7607042,1.35477795,97.0622329,1862,47.6518106,6.74491053,85.12,19.66,34779,0,1,61.9005651,0,3532,84653.2,403,
Davidson,2011,0,790,306,0,163044,0.77709085,1.3763156,9.04970437,1.34810235,87.4487868,11310,40.7822921,6.9367778,81.12,17.86,31748,0,0,5.35936605,2,1013,48905.55,274,
Davidson,2012,1,790,348,0,162994,0.81598096,1.41170841,9.0316208,1.40495969,87.3357302,11741,41.161079,7.20333264,81.12,17.86,32765,0,0,68.0581778,6,1080,90636.49,407,
Davidson,2013,0,930,327,0,163498,0.8544447,1.44588925,9.01356592,1.46056833,87.2255318,12206,41.4703118,7.46553475,81.12,17.86,32594,0,0,3.52629947,3,1184,70692.66,284,
Davidson,2014,1,1100,403,0,163869,0.89217607,1.4798406,8.99682063,1.51523473,87.115928,12652,41.7215341,7.72080137,81.12,17.86,34473,0,0,41.5296668,4,1071,79266.55,310,
Davidson,2015,0,1120,215,1,164418,0.92933864,1.51382452,8.97955212,1.56856305,87.0087217,13105,41.8674114,7.97053851,83.91,18.48,35705,0,1,2.94126462,8,1040,65533.5,266,
Davidson,2016,1,1090,157,1,165613,0.96550392,1.54637619,8.96246068,1.62185336,86.9038059,13609,41.969151,8.21735009,83.91,18.48,36634,0,1,71.0493524,4,1343,603438.44,507,
Davidson,2017,0,1070,104,1,166591,1.00185484,1.57871674,8.94646169,1.67416007,86.7988067,14089,42.0381023,8.45723959,83.91,18.48,38124,0,1,3.17111728,5,1176,76804.77,436,
Davidson,2018,1,920,161,1,168093,1.03692599,1.61041804,8.93077047,1.72583034,86.6960552,14612,42.0570152,8.69280696,83.91,18.48,39508,0,1,52.6280095,7,1398,126907.81,524,
Wilson,2011,0,790,306,0,81273,0.4995509,0.99541053,39.757361,1.3522326,57.395445,8317,38.8652517,10.2334109,79.14,18.37,34667,0,0,0.89378117,11,3333,87716.19,450,
Wilson,2012,1,790,348,0,81314,0.52266522,1.03303244,39.8922695,1.41550041,57.1365325,8584,39.0029674,10.5566077,79.14,18.37,35557,0,0,70.0789783,7,3442,248052.73,741,
Wilson,2013,0,930,327,0,80929,0.54492209,1.07130942,40.022736,1.47660295,56.8844296,8796,39.1964286,10.8687862,79.14,18.37,35301,0,0,2.95155071,2,3004,105455.59,437,
Wilson,2014,1,1100,403,0,80866,0.56636906,1.10676922,40.1219301,1.53587416,56.6690575,9038,39.2510917,11.1765142,79.14,18.37,36139,0,0,46.9027505,14,3568,144328.52,579,
Wilson,2015,0,1120,215,1,81217,0.58608419,1.14015539,40.1837054,1.59079996,56.4992551,9324,39.362069,11.4803551,80.27,19.64,37411,0,1,10.2676588,13,2477,144578.06,379,
Wilson,2016,1,1090,157,1,81483,0.60503418,1.17325086,40.2206595,1.64574206,56.3553134,9600,39.4817328,11.7815986,80.27,19.64,37966,0,1,67.646435,14,2640,219427.23,579,
Wilson,2017,0,1070,104,1,81597,0.62502298,1.20470115,40.2600586,1.6998174,56.2103999,9855,39.5517418,12.0776499,80.27,19.64,38918,0,1,2.88193312,6,1489,114630.7,447,
Wilson,2018,1,920,161,1,81949,0.64430316,1.23735494,40.32386,1.75230936,56.0421726,10132,39.6811225,12.3637872,80.27,19.64,39982,0,1,50.7230786,3,1084,503853.85,494,
Northampton,2011,0,790,306,0,21900,0.53424658,0.24200913,58.5068493,0.93607306,39.7808219,332,45.6923077,1.51598174,74.45,11.14,27747,0,0,3.80965385,2,28,2660,26,
Northampton,2012,1,790,348,0,21502,0.55343689,0.25113943,58.4922333,0.97665334,39.7265371,341,45.3665339,1.58589899,74.45,11.14,30561,0,0,69.6981399,3,123,10733.5,45,
Northampton,2013,0,930,327,0,21267,0.57365872,0.26331876,58.4755725,1.01095594,39.6764941,352,45.5581897,1.65514647,74.45,11.14,29676,0,0,4.63247305,2,46,7807,19,
Northampton,2014,1,1100,403,0,21201,0.59431159,0.273572,58.4595066,1.05183718,39.6207726,366,45.3841202,1.72633366,74.45,11.14,30133,0,0,43.6091205,2,148,36007.5,55,
